"Text","Pattern","Format"
"Hello, my phone number is 123-456-7890.","Phone Number","#unitid=1#temp=38#date=2024-09-21#time=15:30:00"
"Please contact me at john.doe@example.com.","Email","#unitid=2#temp=40#date=2024-09-21#time=15:31:00"
"The meeting is scheduled for 2022-02-15 at 2:00 PM.","Date and Time","#unitid=3#temp=39#date=2024-09-21#time=15:32:00"
"I can be reached at (123) 456-7890 or john.doe@example.com.","Phone Number and Email","#unitid=4#temp=41#date=2024-09-21#time=15:33:00"
"The price of the book is $15.99.","Currency","#unitid=5#temp=38#date=2024-09-21#time=15:34:00"
"The website is https://www.example.com.","URL","#unitid=6#temp=40#date=2024-09-21#time=15:35:00"
"The product code is ABC-1234.","Product Code","#unitid=7#temp=39#date=2024-09-21#time=15:36:00"
"The order number is #1234.","Order Number","#unitid=8#temp=41#date=2024-09-21#time=15:37:00"
"The date of birth is 1990-01-01.","Date of Birth","#unitid=9#temp=38#date=2024-09-21#time=15:38:00"
"The time is 12:45 PM.","Time","#unitid=10#temp=40#date=2024-09-21#time=15:39:00"
